Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Dillon Brooks (26450052),Dillon Brooks,26450052,SG/SF/F/G/UTIL,5100,CLE@MEM 01/18/2023 08:00PM ET,MEM,27.02
SG/SF,Caris LeVert (26450062),Caris LeVert,26450062,SG/SF/F/G/UTIL,5100,CLE@MEM 01/18/2023 08:00PM ET,CLE,24.63
SG/SF,Max Strus (26450057),Max Strus,26450057,SG/SF/F/G/UTIL,5100,MIA@NOP 01/18/2023 08:00PM ET,MIA,23.66
SG/SF,Malik Beasley (26450047),Malik Beasley,26450047,SG/SF/F/G/UTIL,5100,LAC@UTA 01/18/2023 09:00PM ET,UTA,23.73
PG,Monte Morris (26450067),Monte Morris,26450067,PG/G/UTIL,5000,WAS@NYK 01/18/2023 07:30PM ET,WAS,24.72
SF/PF,De'Andre Hunter (26450075),De'Andre Hunter,26450075,SF/PF/F/UTIL,5000,ATL@DAL 01/18/2023 07:30PM ET,ATL,24.56
PG/SF,Jalen Williams (26450070),Jalen Williams,26450070,PG/SF/F/G/UTIL,5000,IND@OKC 01/18/2023 08:00PM ET,OKC,23.36
PG/SG,Gabe Vincent (26450079),Gabe Vincent,26450079,PG/SG/G/UTIL,5000,MIA@NOP 01/18/2023 08:00PM ET,MIA,18.47
PG,Tyus Jones (26450087),Tyus Jones,26450087,PG/G/UTIL,4900,CLE@MEM 01/18/2023 08:00PM ET,MEM,23.43
SG/SF,Trey Murphy III (26450090),Trey Murphy III,26450090,SG/SF/F/G/UTIL,4900,MIA@NOP 01/18/2023 08:00PM ET,NOP,23.3
SF/PF,Jalen McDaniels (26450083),Jalen McDaniels,26450083,SF/PF/F/UTIL,4900,CHA@HOU 01/18/2023 08:00PM ET,CHA,23.33
SF,Luguentz Dort (26450095),Luguentz Dort,26450095,SF/F/UTIL,4800,IND@OKC 01/18/2023 08:00PM ET,OKC,25.53
PG/SG,Bones Hyland (26450098),Bones Hyland,26450098,PG/SG/G/UTIL,4800,MIN@DEN 01/18/2023 10:00PM ET,DEN,23.23
PF/C,Naz Reid (26450102),Naz Reid,26450102,PF/C/F/UTIL,4800,MIN@DEN 01/18/2023 10:00PM ET,MIN,20.84
PF,Marcus Morris Sr. (26450106),Marcus Morris Sr.,26450106,PF/F/UTIL,4800,LAC@UTA 01/18/2023 09:00PM ET,LAC,24.76
SG/SF,Quentin Grimes (26450114),Quentin Grimes,26450114,SG/SF/F/G/UTIL,4700,WAS@NYK 01/18/2023 07:30PM ET,NYK,20.74
C,Daniel Gafford (26450123),Daniel Gafford,26450123,C/UTIL,4700,WAS@NYK 01/18/2023 07:30PM ET,WAS,17.45
SG/SF,Bruce Brown (26450109),Bruce Brown,26450109,SG/SF/F/G/UTIL,4700,MIN@DEN 01/18/2023 10:00PM ET,DEN,25.16
SF/PF,Jaden McDaniels (26450119),Jaden McDaniels,26450119,SF/PF/F/UTIL,4700,MIN@DEN 01/18/2023 10:00PM ET,MIN,23.18
SF,Caleb Martin (26450129),Caleb Martin,26450129,SF/F/UTIL,4600,MIA@NOP 01/18/2023 08:00PM ET,MIA,22.03
PG/SG,Collin Sexton (26450132),Collin Sexton,26450132,PG/SG/G/UTIL,4600,LAC@UTA 01/18/2023 09:00PM ET,UTA,22.59
SF/PF,KJ Martin (26450125),KJ Martin,26450125,SF/PF/F/UTIL,4600,CHA@HOU 01/18/2023 08:00PM ET,HOU,20.62
PF/C,Wenyen Gabriel (26450136),Wenyen Gabriel,26450136,PF/C/F/UTIL,4600,SAC@LAL 01/18/2023 10:30PM ET,LAL,14.39
SF,Aleksej Pokusevski (26450143),Aleksej Pokusevski,26450143,SF/F/UTIL,4500,IND@OKC 01/18/2023 08:00PM ET,OKC,22.17
SF,Herbert Jones (26450146),Herbert Jones,26450146,SF/F/UTIL,4500,MIA@NOP 01/18/2023 08:00PM ET,NOP,21.9
SF,Eric Gordon (26450140),Eric Gordon,26450140,SF/F/UTIL,4500,CHA@HOU 01/18/2023 08:00PM ET,HOU,20.3
SG/SF,Lonnie Walker IV (26450149),Lonnie Walker IV,26450149,SG/SF/F/G/UTIL,4500,SAC@LAL 01/18/2023 10:30PM ET,LAL,22.43
PG,Jose Alvarado (26450160),Jose Alvarado,26450160,PG/G/UTIL,4400,MIA@NOP 01/18/2023 08:00PM ET,NOP,19.86
SG,Kentavious Caldwell-Pope (26450157),Kentavious Caldwell-Pope,26450157,SG/G/UTIL,4400,MIN@DEN 01/18/2023 10:00PM ET,DEN,22.34
PF,Keegan Murray (26450163),Keegan Murray,26450163,PF/F/UTIL,4400,SAC@LAL 01/18/2023 10:30PM ET,SAC,21.48
PF,Rui Hachimura (26450166),Rui Hachimura,26450166,PF/F/UTIL,4300,WAS@NYK 01/18/2023 07:30PM ET,WAS,21.54
PF/C,Nicolas Batum (26450169),Nicolas Batum,26450169,PF/C/F/UTIL,4300,LAC@UTA 01/18/2023 09:00PM ET,LAC,17.04
SF/PF,Aaron Nesmith (26450173),Aaron Nesmith,26450173,SF/PF/F/UTIL,4200,IND@OKC 01/18/2023 08:00PM ET,IND,18.92
PF/C,Brandon Clarke (26450182),Brandon Clarke,26450182,PF/C/F/UTIL,4200,CLE@MEM 01/18/2023 08:00PM ET,MEM,20.71
SG/SF,Austin Reaves (26450177),Austin Reaves,26450177,SG/SF/F/G/UTIL,4200,SAC@LAL 01/18/2023 10:30PM ET,LAL,19.8
SF,Deni Avdija (26450193),Deni Avdija,26450193,SF/F/UTIL,4100,WAS@NYK 01/18/2023 07:30PM ET,WAS,21.84
PF/C,Kevin Love (26450196),Kevin Love,26450196,PF/C/F/UTIL,4100,CLE@MEM 01/18/2023 08:00PM ET,CLE,21.99
PG/SG,Jaylen Nowell (26450189),Jaylen Nowell,26450189,PG/SG/G/UTIL,4100,MIN@DEN 01/18/2023 10:00PM ET,MIN,19.67
SG,Malik Monk (26450186),Malik Monk,26450186,SG/G/UTIL,4100,SAC@LAL 01/18/2023 10:30PM ET,SAC,24.08
PG/SF,Jae'Sean Tate (26450200),Jae'Sean Tate,26450200,PG/SF/F/G/UTIL,4000,CHA@HOU 01/18/2023 08:00PM ET,HOU,18.19
